stock,date,Negative_VADER,Neutral_VADER,Positive_VADER,returns,return_sign
amazon,2024-06-03,1.0,0.0,0.0,,0
amazon,2024-06-04,1.0,0.0,2.0,0.00560726713319748,1
amazon,2024-06-05,0.0,0.0,3.0,0.010817455564965828,1
amazon,2024-06-06,2.0,1.0,9.0,0.020520748266509736,1
amazon,2024-06-07,1.0,0.0,7.0,-0.003783767287795614,0
amazon,2024-06-11,2.0,0.0,2.0,0.0009087895389929823,1
amazon,2024-06-12,0.0,1.0,5.0,-0.0018159287809064173,0
amazon,2024-06-13,0.0,0.0,2.0,-0.016373254687715777,0
amazon,2024-06-14,0.0,0.0,2.0,-0.0009247574783878276,0
amazon,2024-06-17,0.0,0.0,2.0,0.002177904217078641,1
amazon,2024-06-18,1.0,2.0,1.0,-0.006791263808433312,0
amazon,2024-06-20,1.0,0.0,5.0,0.017996874289478493,1
amazon,2024-06-21,1.0,1.0,7.0,0.01601287280926522,1
amazon,2024-06-25,0.0,0.0,4.0,0.004149318226444709,1
amazon,2024-06-26,0.0,0.0,1.0,0.03901472799901873,1
amazon,2024-07-01,0.0,0.0,5.0,0.02043982896891161,1
amazon,2024-07-02,1.0,1.0,7.0,0.014198798656638534,1
amazon,2024-07-03,0.0,0.0,8.0,-0.012050018310546862,0
amazon,2024-07-05,0.0,0.0,3.0,0.012196992290986808,1
amazon,2024-07-08,0.0,3.0,2.0,-0.0035500335693359197,0
amazon,2024-07-09,2.0,0.0,1.0,0.0002509059834530092,1
amazon,2024-07-11,0.0,0.0,1.0,-0.023724863074531144,0
amazon,2024-07-12,0.0,0.0,1.0,-0.0028710461411536325,0
amazon,2024-07-15,0.0,0.0,2.0,-0.009100746683474936,0
amazon,2024-07-16,1.0,1.0,8.0,0.0015566783408964557,1
amazon,2024-07-17,3.0,0.0,22.0,-0.02637038381521739,0
amazon,2024-07-18,1.0,0.0,3.0,-0.022242286163404512,0
amazon,2024-07-19,2.0,2.0,6.0,-0.0033741230867346816,0
amazon,2024-07-22,0.0,0.0,8.0,-0.003167158934036185,0
amazon,2024-07-23,0.0,0.0,5.0,0.021144894800451786,1
amazon,2024-07-24,2.0,0.0,3.0,-0.029934025650088625,0
amazon,2024-07-25,1.0,1.0,3.0,-0.005419431054668911,0
amazon,2024-07-26,0.0,0.0,3.0,0.014734466536293178,1
amazon,2024-07-29,0.0,1.0,2.0,0.003835599716395466,1
amazon,2024-07-30,1.0,1.0,1.0,-0.008133134602594794,0
amazon,2024-07-31,2.0,0.0,6.0,0.029002194810164417,1
amazon,2024-08-01,0.0,1.0,1.0,-0.015563100170141508,0
amazon,2024-08-02,1.0,0.0,6.0,-0.0878470841762542,0
amazon,2024-08-05,0.0,0.0,4.0,-0.04097671157906757,0
amazon,2024-08-06,2.0,1.0,6.0,0.005651399696776416,1
amazon,2024-08-07,2.0,1.0,5.0,0.0051874985158653075,1
amazon,2024-08-08,0.0,0.0,3.0,0.018615215947435537,1
amazon,2024-08-09,4.0,1.0,4.0,0.00687575011257735,1
amazon,2024-08-19,0.0,0.0,1.0,0.006551472258579993,1
amazon,2024-08-20,0.0,0.0,2.0,0.003703308593809629,1
amazon,2024-08-21,1.0,0.0,3.0,0.006876093995775934,1
amazon,2024-08-22,1.0,0.0,2.0,-0.022097583221652117,0
amazon,2024-08-23,4.0,0.0,6.0,0.005166572293719973,1
amazon,2024-08-26,0.0,0.0,1.0,-0.00869856159361615,0
amazon,2024-08-27,0.0,0.0,3.0,-0.013561281383547064,0
amazon,2024-08-28,1.0,0.0,4.0,-0.013401063602498708,0
amazon,2024-08-29,0.0,0.0,1.0,0.007728290643119529,1
amazon,2024-08-30,1.0,0.0,0.0,0.037067191865004956,1
