tweet,date,account
"RT 
@realDonaldTrump
 - The ""Stable Genius"" is handling bird flu just as he did COVID-19 #USA $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $NVDA $META $TSLA $MSTR $BTC",2025-02-14T20:19:34.000Z,@TradingGuru
"Netflix Teases ‘Bridgerton’ Season 4 With Behind-The-Scenes Trailer: Here’s What We Know
https://go.forbes.com/c/uF9w",2025-02-14T18:10:04.000Z,@Forbes
"Here are Friday's biggest analyst calls: Nvidia, Apple, Roku, Coinbase, Airbnb, AMD, Netflix, Analog Devices and more",2025-02-14T13:32:45.000Z,@CNBC
"All these stocks hit new ALL TIME HIGHS at some point today

Facebook $META
Netflix $NFLX
Costco $COST
Walmart $WMT
CrowdStrike $CRWD
Visa $V
Spotify $SPOT
Tempus AI $TEM
Hims & Hers $HIMS
T-Mobile $TMUS
Applovin $APP
BJ's Wholesale $BJ
Dutch Bros $BROS
$CRH
Duolingo $DUOL",2025-02-13T20:34:07.000Z,@StockMKTNewz
"That was a damn disgrace...America has not seen it in history since NATO was founded, reprimanding the allies and cozying up and legitimizing Putin, the most dangerous current war criminal $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $META $NVDA $MSTR $BTC",2025-02-13T19:28:33.000Z,@TradingGuru
"Here are Thursday's biggest analyst calls: Nvidia, Netflix, Coinbase, CVS, Broadcom, Dell, Robin Hood, Walmart & more",2025-02-13T13:32:39.000Z,@CNBC
"President Trump just said that interest rates should be lowered

Trump vs. Powell coming soon to $NFLX?",2025-02-12T19:08:22.000Z,@Stocktwits
"Here are Wednesday's biggest analyst calls: Nvidia, Apple, Tesla, Walmart, Netflix, Shopify, Super Micro & more",2025-02-12T13:24:08.000Z,@CNBC
"'Last Chance U' stars sue Netflix, others for $30M http://reut.rs/3EwSJol",2025-02-12T07:35:06.000Z,@Reuters
"As cannabis and sports betting become legalized, and with OnlyFans as mainstream as Netflix, the payment service has become the go-to app for everyday hedonists.
Read more: https://forbes.com/sites/willyakowicz/2024/12/13/venmo-is-for-vices-paying-for-sex-drugs-and-gambling-on-the-down-low/?utm_source=TWITTER&utm_medium=social&utm_campaign=forbes…",2025-02-12T00:11:00.000Z,@Forbes
"RT 
@realDonaldTrump
 - The ""Stable Genius"" is handling bird flu just as he did COVID-19 #USA $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $NVDA $META $TSLA $MSTR $BTC",2025-02-14T20:19:34.000Z,@TradingGuru
"Netflix Teases ‘Bridgerton’ Season 4 With Behind-The-Scenes Trailer: Here’s What We Know
https://go.forbes.com/c/uF9w",2025-02-14T18:10:04.000Z,@Forbes
"Here are Friday's biggest analyst calls: Nvidia, Apple, Roku, Coinbase, Airbnb, AMD, Netflix, Analog Devices and more",2025-02-14T13:32:45.000Z,@CNBC
"All these stocks hit new ALL TIME HIGHS at some point today

Facebook $META
Netflix $NFLX
Costco $COST
Walmart $WMT
CrowdStrike $CRWD
Visa $V
Spotify $SPOT
Tempus AI $TEM
Hims & Hers $HIMS
T-Mobile $TMUS
Applovin $APP
BJ's Wholesale $BJ
Dutch Bros $BROS
$CRH
Duolingo $DUOL",2025-02-13T20:34:07.000Z,@StockMKTNewz
"That was a damn disgrace...America has not seen it in history since NATO was founded, reprimanding the allies and cozying up and legitimizing Putin, the most dangerous current war criminal $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $META $NVDA $MSTR $BTC",2025-02-13T19:28:33.000Z,@TradingGuru
"Here are Thursday's biggest analyst calls: Nvidia, Netflix, Coinbase, CVS, Broadcom, Dell, Robin Hood, Walmart & more",2025-02-13T13:32:39.000Z,@CNBC
"President Trump just said that interest rates should be lowered

Trump vs. Powell coming soon to $NFLX?",2025-02-12T19:08:22.000Z,@Stocktwits
"Here are Wednesday's biggest analyst calls: Nvidia, Apple, Tesla, Walmart, Netflix, Shopify, Super Micro & more",2025-02-12T13:24:08.000Z,@CNBC
"'Last Chance U' stars sue Netflix, others for $30M http://reut.rs/3EwSJol",2025-02-12T07:35:06.000Z,@Reuters
"As cannabis and sports betting become legalized, and with OnlyFans as mainstream as Netflix, the payment service has become the go-to app for everyday hedonists.
Read more: https://forbes.com/sites/willyakowicz/2024/12/13/venmo-is-for-vices-paying-for-sex-drugs-and-gambling-on-the-down-low/?utm_source=TWITTER&utm_medium=social&utm_campaign=forbes…",2025-02-12T00:11:00.000Z,@Forbes
"RT 
@realDonaldTrump
 - The ""Stable Genius"" is handling bird flu just as he did COVID-19 #USA $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $NVDA $META $TSLA $MSTR $BTC",2025-02-14T20:19:34.000Z,@TradingGuru
"Netflix Teases ‘Bridgerton’ Season 4 With Behind-The-Scenes Trailer: Here’s What We Know
https://go.forbes.com/c/uF9w",2025-02-14T18:10:04.000Z,@Forbes
"Here are Friday's biggest analyst calls: Nvidia, Apple, Roku, Coinbase, Airbnb, AMD, Netflix, Analog Devices and more",2025-02-14T13:32:45.000Z,@CNBC
"All these stocks hit new ALL TIME HIGHS at some point today

Facebook $META
Netflix $NFLX
Costco $COST
Walmart $WMT
CrowdStrike $CRWD
Visa $V
Spotify $SPOT
Tempus AI $TEM
Hims & Hers $HIMS
T-Mobile $TMUS
Applovin $APP
BJ's Wholesale $BJ
Dutch Bros $BROS
$CRH
Duolingo $DUOL",2025-02-13T20:34:07.000Z,@StockMKTNewz
"That was a damn disgrace...America has not seen it in history since NATO was founded, reprimanding the allies and cozying up and legitimizing Putin, the most dangerous current war criminal $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $META $NVDA $MSTR $BTC",2025-02-13T19:28:33.000Z,@TradingGuru
"Here are Thursday's biggest analyst calls: Nvidia, Netflix, Coinbase, CVS, Broadcom, Dell, Robin Hood, Walmart & more",2025-02-13T13:32:39.000Z,@CNBC
"President Trump just said that interest rates should be lowered

Trump vs. Powell coming soon to $NFLX?",2025-02-12T19:08:22.000Z,@Stocktwits
"Here are Wednesday's biggest analyst calls: Nvidia, Apple, Tesla, Walmart, Netflix, Shopify, Super Micro & more",2025-02-12T13:24:08.000Z,@CNBC
"'Last Chance U' stars sue Netflix, others for $30M http://reut.rs/3EwSJol",2025-02-12T07:35:06.000Z,@Reuters
"As cannabis and sports betting become legalized, and with OnlyFans as mainstream as Netflix, the payment service has become the go-to app for everyday hedonists.
Read more: https://forbes.com/sites/willyakowicz/2024/12/13/venmo-is-for-vices-paying-for-sex-drugs-and-gambling-on-the-down-low/?utm_source=TWITTER&utm_medium=social&utm_campaign=forbes…",2025-02-12T00:11:00.000Z,@Forbes
"Exclusive: Reed Hastings, the billionaire co-founder of Netflix, is wagering that he can persuade 650 homeowners to join him in living a rugged-yet-refined lifestyle at roughly 9,000 feet in northern Utah",2025-03-15T22:24:02.000Z,@WSJ
"Netflix, Amazon and others are increasingly courting YouTube creators for new series or spinoffs https://on.wsj.com/41tahcP",2025-03-15T20:40:08.000Z,@WSJ
RT The optional illusion $QQQ $MSFT $GOOG $AMZN $NFLX $AAPL $TSLA $META $NVDA $MSTR $BTC,2025-03-15T16:16:22.000Z,@TradingGuru
Wall Street Week told stories of the Covid-19 pandemic five years later and of Reed Hastings' second act after Netflix,2025-03-15T12:02:39.000Z,@business
