Tweet,Date,Account
"Forbes
@Forbes
·
Apr 3
Battle For TikTok: Amazon, AppLovin Join Oracle And These Others Vying To Buy It
Battle For TikTok: Amazon, AppLovin Join Oracle And These Others Vying To Buy It
From forbes.com
5
2
11
28K",2025-04-03,
"Stocktwits
@Stocktwits
·
Apr 3
The Mag 7 have lost a combined $844 billion in market cap after-hours 

 $AAPL: -7%
 $MSFT: -3%
 $NVDA: -4.5%
 $AMZN: -6%
 $GOOGL: -3.5%
 $META: -5%
 $TSLA: -6%
Quote
Stocktwits
@Stocktwits
·
Apr 2
The S&P 500 has lost over $1.5 trillion in market cap in 3 hours...

Tomorrow is going to be interesting. $SPY  x.com/Stocktwits/sta…
23
43
135
48K",2025-04-02,
"Guru Algo Trading
@TradingGuru
·
Apr 2
RT This Stable Genius is going to drive the whole world into GREAT DEPRESSION $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $NFLX $NVDA $MSTR $BTC
#USA #RiseUp
Dow nosedives 1,600 points, S&P 500 and Nasdaq drop the most since 2020 after Trump's tariff...
From cnbc.com
1
282",2025-04-02,
"Forbes
@Forbes
·
Apr 2
Jeff Bezos founded e-commerce giant Amazon in 1994 out of his Seattle garage. Here's where he lands today on our #ForbesBillionaires list: https://trib.al/1SZjeEk (Photo: Paul Souders via Getty Images)
5
15
71
27K",2025-04-02,
"Battle For TikTok: Amazon, AppLovin Join Oracle And These Others Vying To Buy It",Unknown,Unknown
"The Mag 7 have lost a combined $844 billion in market cap after-hours 

 $AAPL: -7%
 $MSFT: -3%
 $NVDA: -4.5%
 $AMZN: -6%
 $GOOGL: -3.5%
 $META: -5%
 $TSLA: -6%",Unknown,Unknown
"The S&P 500 has lost over $1.5 trillion in market cap in 3 hours...

Tomorrow is going to be interesting. $SPY  x.com/Stocktwits/sta…",Unknown,Stocktwits
"RT This Stable Genius is going to drive the whole world into GREAT DEPRESSION $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $NFLX $NVDA $MSTR $BTC
#USA #RiseUp",Unknown,Unknown
Jeff Bezos founded e-commerce giant Amazon in 1994 out of his Seattle garage. Here's where he lands today on our #ForbesBillionaires list: https://trib.al/1SZjeEk (Photo: Paul Souders via Getty Images),Unknown,#ForbesBillionaires
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT US stocks and real estate prices are at levels of the pre-Black Monday sell-off that triggered the Great Depression, as America braces for the most inept and incompetent 
@realDonaldTrump
 administration $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $NVDA $BTC
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
2
1
135",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT 
@realDonaldTrump
’s kleptocratic administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION and a high-interest rate environment from the Fed. $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #usa
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
127",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT 
@realDonaldTrump
’s tariffs will fuel INFLATION, SLOW ECONOMIC GROWTH, harm U.S. workers, and push the economy into RECESSION, triggering a MARKET SELL-OFF $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $NFLX $MSTR $NVDA $META $BTC #USA #RiseUp
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
116",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT The kleptocratic oligarchy of 
@realDonaldTrump
’s administration is filled with immoral, lawless individuals driven by self-enrichment, with zero regard for the public interest $QQQ $MSFT $GOOG $AMZN $NFLX $AAPL $TSLA $MSTR $META $BTC #USA #RiseUp
Trump's US Commerce Secretary, who owns Tesla stock, publicly recommends to buy TSLA
From electrek.co
180",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 23
RT This great country is being run by two malignant, incompetent fascists — 
@realDonaldTrump
 and 
@elonmusk

$QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $TSLA $META $ORCL $MSTR $NVDA $BTC
Everyone's saying the same thing about Elon Musk's table etiquette
From dailymail.co.uk
1
197",2025-03-23,
"Benzinga
@Benzinga
·
Mar 22
 April could bring a tech comeback—Here’s why

The start of 2025 has been rough for big tech, but history suggests a rebound may be near. Three Magnificent Seven giants—Amazon $AMZN, Meta $META, and Microsoft $MSFT—have a track record of strong April returns.

 Amazon $AMZN:
Show more
7
2
13
6.8K",2025-03-22,
"Guru Algo Trading
@TradingGuru
·
Mar 21
RT The racket and extortion…
@realDonaldTrump
 rules America like a mob boss, dismantling the checks and balances - the foundation of the constitutional system and the pillar of American democracy $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC #USA
Trump rescinds executive order after law firm agrees to provide $40m in free services
From theguardian.com
135",2025-03-21,
"Guru Algo Trading
@TradingGuru
·
Mar 21
RT 
@realDonaldTrump
’s kleptocratic and incompetent administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION, SLOW ECONOMIC GROWTH and RECESSION $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #USA
106",2025-03-21,
"Benzinga
@Benzinga
·
Mar 21
Carvana vs Amazon Auto: Analyst outlook 

Carvana $CVNA saw an upgrade from Piper Sandler, boosting its rating from Neutral to Overweight with a $225 price target. Analyst Alexander Potter sees Carvana's growth potential even amidst market uncertainty, projecting retail unit
Show more
7
2
11
4.7K",2025-03-21,
"Guru Algo Trading
@TradingGuru
·
Mar 21
RT This is UNPRECEDENTED in the whole of American history...A lawless CONVICTED CRIMINAL is attempting to usurp power and become an unchecked dictator  $QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $TSLA $META $ORCL $MSTR $NVDA $BTC
Trump reveals sole person trying to 'usurp' his presidency
From dailymail.co.uk
286",2025-03-21,
"RT US stocks and real estate prices are at levels of the pre-Black Monday sell-off that triggered the Great Depression, as America braces for the most inept and incompetent 
@realDonaldTrump
 administration $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $NVDA $BTC",Unknown,Unknown
"RT 
@realDonaldTrump
’s kleptocratic administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION and a high-interest rate environment from the Fed. $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #usa",Unknown,Unknown
"RT 
@realDonaldTrump
’s tariffs will fuel INFLATION, SLOW ECONOMIC GROWTH, harm U.S. workers, and push the economy into RECESSION, triggering a MARKET SELL-OFF $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $NFLX $MSTR $NVDA $META $BTC #USA #RiseUp",Unknown,Unknown
"RT The kleptocratic oligarchy of 
@realDonaldTrump
’s administration is filled with immoral, lawless individuals driven by self-enrichment, with zero regard for the public interest $QQQ $MSFT $GOOG $AMZN $NFLX $AAPL $TSLA $MSTR $META $BTC #USA #RiseUp",Unknown,Unknown
"RT This great country is being run by two malignant, incompetent fascists — 
@realDonaldTrump
 and 
@elonmusk

$QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $TSLA $META $ORCL $MSTR $NVDA $BTC",Unknown,elonmusk
"April could bring a tech comeback—Here’s why

The start of 2025 has been rough for big tech, but history suggests a rebound may be near. Three Magnificent Seven giants—Amazon $AMZN, Meta $META, and Microsoft $MSFT—have a track record of strong April returns.

 Amazon $AMZN:",Unknown,Unknown
"RT The racket and extortion…
@realDonaldTrump
 rules America like a mob boss, dismantling the checks and balances - the foundation of the constitutional system and the pillar of American democracy $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC #USA",Unknown,Unknown
"RT 
@realDonaldTrump
’s kleptocratic and incompetent administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION, SLOW ECONOMIC GROWTH and RECESSION $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #USA",Unknown,Unknown
"Carvana vs Amazon Auto: Analyst outlook 

Carvana $CVNA saw an upgrade from Piper Sandler, boosting its rating from Neutral to Overweight with a $225 price target. Analyst Alexander Potter sees Carvana's growth potential even amidst market uncertainty, projecting retail unit",Unknown,Unknown
RT This is UNPRECEDENTED in the whole of American history...A lawless CONVICTED CRIMINAL is attempting to usurp power and become an unchecked dictator  $QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $TSLA $META $ORCL $MSTR $NVDA $BTC,Unknown,Unknown
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT US stocks and real estate prices are at levels of the pre-Black Monday sell-off that triggered the Great Depression, as America braces for the most inept and incompetent 
@realDonaldTrump
 administration $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $NVDA $BTC
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
2
1
136",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT 
@realDonaldTrump
’s kleptocratic administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION and a high-interest rate environment from the Fed. $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #usa
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
128",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT 
@realDonaldTrump
’s tariffs will fuel INFLATION, SLOW ECONOMIC GROWTH, harm U.S. workers, and push the economy into RECESSION, triggering a MARKET SELL-OFF $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $NFLX $MSTR $NVDA $META $BTC #USA #RiseUp
Dow jumps nearly 600 points on Monday as investors hope Trump softens tariff stance: Live updates
From cnbc.com
116",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 24
RT The kleptocratic oligarchy of 
@realDonaldTrump
’s administration is filled with immoral, lawless individuals driven by self-enrichment, with zero regard for the public interest $QQQ $MSFT $GOOG $AMZN $NFLX $AAPL $TSLA $MSTR $META $BTC #USA #RiseUp
Trump's US Commerce Secretary, who owns Tesla stock, publicly recommends to buy TSLA
From electrek.co
180",2025-03-24,
"Guru Algo Trading
@TradingGuru
·
Mar 23
RT This great country is being run by two malignant, incompetent fascists — 
@realDonaldTrump
 and 
@elonmusk

$QQQ $MSFT $GOOG $AMZN $AAPL $NFLX $TSLA $META $ORCL $MSTR $NVDA $BTC
Everyone's saying the same thing about Elon Musk's table etiquette
From dailymail.co.uk
1
198",2025-03-23,
"Benzinga
@Benzinga
·
Mar 22
 April could bring a tech comeback—Here’s why

The start of 2025 has been rough for big tech, but history suggests a rebound may be near. Three Magnificent Seven giants—Amazon $AMZN, Meta $META, and Microsoft $MSFT—have a track record of strong April returns.

 Amazon $AMZN:
Show more
7
2
13
6.8K",2025-03-22,
"Guru Algo Trading
@TradingGuru
·
Mar 21
RT The racket and extortion…
@realDonaldTrump
 rules America like a mob boss, dismantling the checks and balances - the foundation of the constitutional system and the pillar of American democracy $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC #USA
Trump rescinds executive order after law firm agrees to provide $40m in free services
From theguardian.com
135",2025-03-21,
"Guru Algo Trading
@TradingGuru
·
Mar 21
RT 
@realDonaldTrump
’s kleptocratic and incompetent administration imposes tariffs on allies and wages trade wars, which will trigger UNPRECEDENTED INFLATION, SLOW ECONOMIC GROWTH and RECESSION $QQQ $MSFT $GOOG $AMZN $AAPL $TSLA $META $MSTR $BTC $ORCL #USA
106",2025-03-21,
"Benzinga
@Benzinga
·
Mar 21
Carvana vs Amazon Auto: Analyst outlook 

Carvana $CVNA saw an upgrade from Piper Sandler, boosting its rating from Neutral to Overweight with a $225 price target. Analyst Alexander Potter sees Carvana's growth potential even amidst market uncertainty, projecting retail unit
Show more
7
2
11
4.7K",2025-03-21,
