,stock,date,Negative_VADER,Neutral_VADER,Positive_VADER
0,amazon,2024-06-01,,,
1,amazon,2024-06-02,0.0,1.0,0.0
2,amazon,2024-06-03,1.0,0.0,0.0
3,amazon,2024-06-04,1.0,0.0,2.0
4,amazon,2024-06-05,0.0,0.0,3.0
5,amazon,2024-06-06,2.0,1.0,9.0
6,amazon,2024-06-07,1.0,0.0,7.0
7,amazon,2024-06-11,2.0,0.0,2.0
8,amazon,2024-06-12,0.0,1.0,5.0
9,amazon,2024-06-13,0.0,0.0,2.0
10,amazon,2024-06-14,0.0,0.0,2.0
11,amazon,2024-06-15,0.0,0.0,2.0
12,amazon,2024-06-16,0.0,0.0,3.0
13,amazon,2024-06-17,0.0,0.0,2.0
14,amazon,2024-06-18,1.0,2.0,1.0
15,amazon,2024-06-19,3.0,2.0,13.0
16,amazon,2024-06-20,1.0,0.0,5.0
17,amazon,2024-06-21,1.0,1.0,7.0
18,amazon,2024-06-25,0.0,0.0,4.0
19,amazon,2024-06-26,0.0,0.0,1.0
20,amazon,2024-06-29,1.0,1.0,2.0
21,amazon,2024-06-30,0.0,1.0,3.0
22,amazon,2024-07-01,0.0,0.0,5.0
23,amazon,2024-07-02,1.0,1.0,7.0
24,amazon,2024-07-03,0.0,0.0,8.0
25,amazon,2024-07-04,1.0,0.0,10.0
26,amazon,2024-07-05,0.0,0.0,3.0
27,amazon,2024-07-08,0.0,3.0,2.0
28,amazon,2024-07-09,2.0,0.0,1.0
29,amazon,2024-07-11,0.0,0.0,1.0
30,amazon,2024-07-12,0.0,0.0,1.0
31,amazon,2024-07-13,0.0,0.0,3.0
32,amazon,2024-07-14,1.0,0.0,1.0
33,amazon,2024-07-15,0.0,0.0,2.0
34,amazon,2024-07-16,1.0,1.0,8.0
35,amazon,2024-07-17,3.0,0.0,22.0
36,amazon,2024-07-18,1.0,0.0,3.0
37,amazon,2024-07-19,2.0,2.0,6.0
38,amazon,2024-07-20,0.0,0.0,1.0
39,amazon,2024-07-22,0.0,0.0,8.0
40,amazon,2024-07-23,0.0,0.0,5.0
41,amazon,2024-07-24,2.0,0.0,3.0
42,amazon,2024-07-25,1.0,1.0,3.0
43,amazon,2024-07-26,0.0,0.0,3.0
44,amazon,2024-07-27,0.0,0.0,2.0
45,amazon,2024-07-28,0.0,0.0,1.0
46,amazon,2024-07-29,0.0,1.0,2.0
47,amazon,2024-07-30,1.0,1.0,1.0
48,amazon,2024-07-31,2.0,0.0,6.0
49,amazon,2024-08-01,0.0,1.0,1.0
50,amazon,2024-08-02,1.0,0.0,6.0
51,amazon,2024-08-03,1.0,0.0,2.0
52,amazon,2024-08-04,1.0,0.0,1.0
53,amazon,2024-08-05,0.0,0.0,4.0
54,amazon,2024-08-06,2.0,1.0,6.0
55,amazon,2024-08-07,2.0,1.0,5.0
56,amazon,2024-08-08,0.0,0.0,3.0
57,amazon,2024-08-09,4.0,1.0,4.0
58,amazon,2024-08-17,0.0,1.0,4.0
59,amazon,2024-08-18,1.0,0.0,1.0
60,amazon,2024-08-19,0.0,0.0,1.0
61,amazon,2024-08-20,0.0,0.0,2.0
62,amazon,2024-08-21,1.0,0.0,3.0
63,amazon,2024-08-22,1.0,0.0,2.0
64,amazon,2024-08-23,4.0,0.0,6.0
65,amazon,2024-08-24,0.0,0.0,1.0
66,amazon,2024-08-26,0.0,0.0,1.0
67,amazon,2024-08-27,0.0,0.0,3.0
68,amazon,2024-08-28,1.0,0.0,4.0
69,amazon,2024-08-29,0.0,0.0,1.0
70,amazon,2024-08-30,1.0,0.0,0.0
71,amazon,2024-08-31,1.0,0.0,2.0
72,amazon,2024-09-01,0.0,0.0,5.0
73,amazon,2024-09-02,1.0,0.0,2.0
74,amazon,2024-09-03,2.0,1.0,1.0
75,amazon,2024-09-04,2.0,0.0,2.0
76,amazon,2024-09-05,3.0,1.0,4.0
77,amazon,2024-09-06,2.0,0.0,5.0
78,amazon,2024-09-08,0.0,0.0,2.0
79,amazon,2024-09-09,0.0,0.0,1.0
